TransactionNo,Items,DateTime,Daypart,DayType,Date,Time,DayType_fixed,Hour,Daypart_fixed,Popular_Item
1,Bread,2016-10-30 09:58:00,Morning,Weekend,2016-10-30,09:58:00,Sunday,9,Morning,Not Popular
2,Scandinavian,2016-10-30 10:05:00,Morning,Weekend,2016-10-30,10:05:00,Sunday,10,Morning,Not Popular
3,Hot chocolate,2016-10-30 10:07:00,Morning,Weekend,2016-10-30,10:07:00,Sunday,10,Morning,Not Popular
3,Jam,2016-10-30 10:07:00,Morning,Weekend,2016-10-30,10:07:00,Sunday,10,Morning,Not Popular
3,Cookies,2016-10-30 10:07:00,Morning,Weekend,2016-10-30,10:07:00,Sunday,10,Morning,Not Popular
4,Muffin,2016-10-30 10:08:00,Morning,Weekend,2016-10-30,10:08:00,Sunday,10,Morning,Not Popular
5,Coffee,2016-10-30 10:13:00,Morning,Weekend,2016-10-30,10:13:00,Sunday,10,Morning,Popular
5,Pastry,2016-10-30 10:13:00,Morning,Weekend,2016-10-30,10:13:00,Sunday,10,Morning,Not Popular
5,Bread,2016-10-30 10:13:00,Morning,Weekend,2016-10-30,10:13:00,Sunday,10,Morning,Not Popular
6,Medialuna,2016-10-30 10:16:00,Morning,Weekend,2016-10-30,10:16:00,Sunday,10,Morning,Not Popular
6,Pastry,2016-10-30 10:16:00,Morning,Weekend,2016-10-30,10:16:00,Sunday,10,Morning,Not Popular
6,Muffin,2016-10-30 10:16:00,Morning,Weekend,2016-10-30,10:16:00,Sunday,10,Morning,Not Popular
7,Medialuna,2016-10-30 10:19:00,Morning,Weekend,2016-10-30,10:19:00,Sunday,10,Morning,Not Popular
7,Pastry,2016-10-30 10:19:00,Morning,Weekend,2016-10-30,10:19:00,Sunday,10,Morning,Not Popular
7,Coffee,2016-10-30 10:19:00,Morning,Weekend,2016-10-30,10:19:00,Sunday,10,Morning,Popular
7,Tea,2016-10-30 10:19:00,Morning,Weekend,2016-10-30,10:19:00,Sunday,10,Morning,Not Popular
